user_id,endpoint,total_requests,successful_requests,error_4xx_requests,error_5xx_requests,total_response_time,latencies,errors_occurred,test_duration
2,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,16,14,0,6.921031951904297,"[0.23582887649536133, 0.6307313442230225, 0.21704554557800293, 0.20622563362121582, 0.19716548919677734, 0.21097707748413086, 0.1491100788116455, 0.14775538444519043, 0.15031218528747559, 0.15019726753234863, 0.1984539031982422, 0.2561342716217041, 0.22115230560302734, 0.25348401069641113, 0.1558372974395752, 0.15741896629333496, 0.15100955963134766, 0.14958405494689941, 0.15595245361328125, 0.20387887954711914, 0.2077333927154541, 0.2645268440246582, 0.1493680477142334, 0.15105485916137695, 0.15041136741638184, 0.15375280380249023, 0.7369463443756104, 0.1971290111541748, 0.5120742321014404, 0.19978046417236328]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",36.945372343063354
22,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,16,14,0,6.137904405593872,"[0.20108294486999512, 0.239332914352417, 0.2353963851928711, 0.23648905754089355, 0.2563459873199463, 0.14815473556518555, 0.14884638786315918, 0.15511345863342285, 0.1467270851135254, 0.15230178833007812, 0.21957039833068848, 0.20839381217956543, 0.24837994575500488, 0.15024328231811523, 0.1464827060699463, 0.15120553970336914, 0.14945363998413086, 0.14797353744506836, 0.21307039260864258, 0.22553253173828125, 0.236893892288208, 0.5380785465240479, 0.14916133880615234, 0.15291213989257812, 0.15387463569641113, 0.14972925186157227, 0.21364569664001465, 0.2232985496520996, 0.27168869972229004, 0.2685251235961914]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",36.16696095466614
18,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,16,14,0,6.640823602676392,"[0.1798877716064453, 0.18571949005126953, 0.18455815315246582, 0.18216204643249512, 0.1912989616394043, 0.1509566307067871, 0.1522977352142334, 0.4556126594543457, 0.1529834270477295, 0.15062689781188965, 0.20008492469787598, 0.1896982192993164, 0.20026302337646484, 0.447831392288208, 0.15502357482910156, 0.1474614143371582, 0.1495819091796875, 0.18160033226013184, 0.18093132972717285, 1.067394733428955, 0.18343019485473633, 0.15221166610717773, 0.15061616897583008, 0.15127873420715332, 0.15079879760742188, 0.15361690521240234, 0.17467784881591797, 0.22670626640319824, 0.19983816146850586, 0.19167423248291016]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",36.664874792099
1,https://api.spotify.com/v1/search?q=remaster%2520track%3ADoxy%2520artist%3AMiles%2520Davis&type=album,30,17,13,0,7.768973112106323,"[0.28777003288269043, 0.294863224029541, 0.302473783493042, 0.2786853313446045, 0.3367438316345215, 0.3354012966156006, 0.14942193031311035, 0.45110273361206055, 0.15441370010375977, 0.15369343757629395, 0.3293771743774414, 0.2886495590209961, 0.3512744903564453, 0.15212678909301758, 0.15051722526550293, 0.16252756118774414, 0.15130400657653809, 0.16229891777038574, 0.3124105930328369, 0.3611152172088623, 0.34815335273742676, 0.3550546169281006, 0.14794421195983887, 0.1563873291015625, 0.15270304679870605, 0.1635427474975586, 0.2872946262359619, 0.3380908966064453, 0.3467593193054199, 0.3068721294403076]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",37.798665046691895
5,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,16,14,0,7.6348185539245605,"[0.21269631385803223, 0.4543728828430176, 0.18909478187561035, 0.2171039581298828, 0.49434804916381836, 0.15007829666137695, 0.5547037124633789, 0.15861773490905762, 0.1547105312347412, 0.15106868743896484, 0.20381903648376465, 0.199143648147583, 0.21209931373596191, 0.15859222412109375, 0.1581130027770996, 0.15146422386169434, 0.15129709243774414, 0.4552628993988037, 0.20038723945617676, 0.18076348304748535, 0.23336124420166016, 0.19815421104431152, 0.1566143035888672, 1.1528356075286865, 0.1504364013671875, 0.1476726531982422, 0.18056607246398926, 0.2015550136566162, 0.1737985610961914, 0.2320873737335205]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",37.660672187805176
17,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,30,14,16,0,7.204580068588257,"[0.2116849422454834, 1.4323606491088867, 0.2757601737976074, 0.21490263938903809, 0.15050578117370605, 0.15346431732177734, 0.14937758445739746, 0.16097688674926758, 0.1526203155517578, 0.22596096992492676, 0.19883084297180176, 0.25041913986206055, 0.15460467338562012, 0.1674785614013672, 0.15192341804504395, 0.1520702838897705, 0.16160845756530762, 0.19692134857177734, 0.25837206840515137, 0.20998907089233398, 0.25242114067077637, 0.1632556915283203, 0.15114212036132812, 0.15469121932983398, 0.15500760078430176, 0.15061664581298828, 0.5608532428741455, 0.20386219024658203, 0.23273825645446777, 0.1501598358154297]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",37.22710084915161
6,https://api.spotify.com/v1/search?q=remaster%2520track%3ADoxy%2520artist%3AMiles%2520Davis&type=album,30,14,16,0,7.92463493347168,"[0.31652116775512695, 0.3424956798553467, 0.29761242866516113, 0.31038641929626465, 0.33614635467529297, 0.15076589584350586, 0.15045619010925293, 0.15029311180114746, 0.15307044982910156, 0.15458440780639648, 0.5135622024536133, 0.3575758934020996, 0.31827878952026367, 0.15055036544799805, 0.15238094329833984, 0.1552746295928955, 0.14634180068969727, 0.1488327980041504, 0.32091212272644043, 0.907602071762085, 0.2991199493408203, 0.16622710227966309, 0.15186309814453125, 0.14876031875610352, 0.15598392486572266, 0.14867877960205078, 0.3178439140319824, 0.5678260326385498, 0.2824232578277588, 0.15226483345031738]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",37.94890117645264
30,https://api.spotify.com/v1/tracks/11dFghVXANMlKmJXsNCbNl,30,16,14,0,6.882518768310547,"[0.2217411994934082, 0.19182658195495605, 0.21449899673461914, 0.1755843162536621, 0.19007086753845215, 0.15212750434875488, 0.15000367164611816, 0.15135598182678223, 0.14840102195739746, 0.2199418544769287, 0.1969141960144043, 0.19587206840515137, 0.47988247871398926, 0.14846444129943848, 0.14939546585083008, 0.160308837890625, 0.1471705436706543, 0.14795470237731934, 0.2402637004852295, 0.16751933097839355, 0.17983508110046387, 1.1975080966949463, 0.1548454761505127, 0.15318560600280762, 0.15511035919189453, 0.18406987190246582, 0.4998626708984375, 0.17699527740478516, 0.17700815200805664, 0.1548004150390625]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",36.91413426399231
28,https://api.spotify.com/v1/artists/0TnOYISbd1XYRBk9myaseg,30,16,14,0,7.31021523475647,"[0.18459677696228027, 0.1813342571258545, 0.20812582969665527, 0.19521355628967285, 0.19820523262023926, 1.972090482711792, 0.1471719741821289, 0.1480560302734375, 0.18297052383422852, 0.20032739639282227, 0.20022988319396973, 0.1868884563446045, 0.15139460563659668, 0.152388334274292, 0.15997314453125, 0.14998435974121094, 0.15430521965026855, 0.18138885498046875, 0.19373583793640137, 0.4954855442047119, 0.15202760696411133, 0.15013957023620605, 0.15395045280456543, 0.1501026153564453, 0.14991354942321777, 0.19658422470092773, 0.18983745574951172, 0.17659735679626465, 0.1805126667022705, 0.16668343544006348]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",37.337302446365356
11,https://api.spotify.com/v1/search?q=remaster%2520track%3ADoxy%2520artist%3AMiles%2520Davis&type=album,30,17,13,0,8.204704523086548,"[0.32582688331604004, 0.30010080337524414, 0.30469632148742676, 0.35811495780944824, 0.3459465503692627, 0.5481114387512207, 0.15628647804260254, 0.2827150821685791, 0.1545400619506836, 0.3252565860748291, 0.34358835220336914, 0.38338780403137207, 0.3141670227050781, 0.15267014503479004, 0.15444660186767578, 0.1483471393585205, 0.15163350105285645, 0.3267366886138916, 0.41878461837768555, 0.32643651962280273, 0.37196779251098633, 0.15011858940124512, 0.14925432205200195, 0.15335536003112793, 0.15224051475524902, 0.3322789669036865, 0.3210875988006592, 0.2802770137786865, 0.3228030204772949, 0.14952778816223145]","[429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429, 429]",38.22866940498352
