user_ids,endpoints,status_codes,latencies,times,error_intervals
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2539393901824951,1748096919.228251,
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.35356879234313965,1748096920.5827172,1.354466199874878
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2659010887145996,1748096921.849398,1.2666807174682617
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.5940356254577637,1748096923.4441583,1.5957586765289307
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.24719786643981934,1748096924.693501,1.2483444213867188
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.30193257331848145,1748096925.9959548,1.3024537563323975
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.29773688316345215,1748096927.2937658,1.2978110313415527
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2849094867706299,1748096928.5793118,1.285546064376831
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.32561469078063965,1748096929.9054062,1.326094388961792
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.25170159339904785,1748096931.1573458,1.252955675125122
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.24924826622009277,1748096932.4076798,1.2503249645233154
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2743360996246338,1748096933.6834717,1.274784803390503
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.3095366954803467,1748096934.9938552,1.3103835582733154
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.28714919090270996,1748096936.281726,1.2878706455230713
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.4051661491394043,1748096937.6872356,1.4055097103118896
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.273953914642334,1748096938.962154,1.2749183177947998
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.24791812896728516,1748096940.210777,1.2486231327056885
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.26532554626464844,1748096941.4766645,1.2658874988555908
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.27272605895996094,1748096942.7499099,1.2742342948913574
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.28194499015808105,1748096944.0335724,1.2826735973358154
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.26119136810302734,1748096945.2959476,1.263375997543335
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2513706684112549,1748096946.5483148,1.252382755279541
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.27829480171203613,1748096947.8276992,1.2783679962158203
12,https://api.spotify.com/v1/albums/4aawyAB9vmqN3uQ7FjRGTy,429,0.2590198516845703,1748096949.0876927,1.259993553161621
